id,title,price,brand,category,rating,stock
1,Essence Mascara Lash Princess,9.99,Essence,beauty,2.56,99
2,Eyeshadow Palette with Mirror,19.99,Glamour Beauty,beauty,2.86,34
3,Powder Canister,14.99,Velvet Touch,beauty,4.64,89
4,Red Lipstick,12.99,Chic Cosmetics,beauty,4.36,91
5,Red Nail Polish,8.99,Nail Couture,beauty,4.32,79
6,Calvin Klein CK One,49.99,Calvin Klein,fragrances,4.37,29
7,Chanel Coco Noir Eau De,129.99,Chanel,fragrances,4.26,58
8,Dior J'adore,89.99,Dior,fragrances,3.8,98
9,Dolce Shine Eau de,69.99,Dolce & Gabbana,fragrances,3.96,4
10,Gucci Bloom Eau de,79.99,Gucci,fragrances,2.74,91
11,Annibale Colombo Bed,1899.99,Annibale Colombo,furniture,4.77,88
12,Annibale Colombo Sofa,2499.99,Annibale Colombo,furniture,3.92,60
13,Bedside Table African Cherry,299.99,Furniture Co.,furniture,2.87,64
14,Knoll Saarinen Executive Conference Chair,499.99,Knoll,furniture,4.88,26
15,Wooden Bathroom Sink With Mirror,799.99,Bath Trends,furniture,3.59,7
16,Apple,1.99,N/A,groceries,4.19,8
17,Beef Steak,12.99,N/A,groceries,4.47,86
18,Cat Food,8.99,N/A,groceries,3.13,46
19,Chicken Meat,9.99,N/A,groceries,3.19,97
20,Cooking Oil,4.99,N/A,groceries,4.8,10
21,Cucumber,1.49,N/A,groceries,4.07,84
22,Dog Food,10.99,N/A,groceries,4.55,71
23,Eggs,2.99,N/A,groceries,2.53,9
24,Fish Steak,14.99,N/A,groceries,3.78,74
25,Green Bell Pepper,1.29,N/A,groceries,3.25,33
26,Green Chili Pepper,0.99,N/A,groceries,3.66,3
27,Honey Jar,6.99,N/A,groceries,3.97,34
28,Ice Cream,5.49,N/A,groceries,3.39,27
29,Juice,3.99,N/A,groceries,3.94,50
30,Kiwi,2.49,N/A,groceries,4.93,99
